Number,Transaction
1,[2014-01-13 12:19:34] - The Olympic Games ASHL was created successfully!
2,[2014-01-13 12:29:51] - Ilya Kovalchuk was added to RUSSIE.
3,[2014-01-13 12:30:05] - Pavel Datsyuk was added to RUSSIE.
4,[2014-01-13 12:30:20] - Alexander Burmistrov was added to RUSSIE.
5,[2014-01-13 12:30:45] - Nikolai Kulemin was added to RUSSIE.
6,[2014-01-13 12:30:59] - Nail Yakupov was added to RUSSIE.
7,[2014-01-13 12:31:11] - Alexander Radulov was added to RUSSIE.
8,[2014-01-13 12:31:21] - Alexei Emelin was added to RUSSIE.
9,[2014-01-13 12:31:31] - Alexander Semin was added to RUSSIE.
10,[2014-01-13 12:31:36] - Alex Ovechkin was added to RUSSIE.
11,[2014-01-13 12:32:04] - Andrei Markov was added to RUSSIE.
12,[2014-01-13 12:32:24] - Artem Anisimov was added to RUSSIE.
13,[2014-01-13 12:32:35] - Evgeni Malkin was added to RUSSIE.
14,[2014-01-13 12:32:43] - Evgeny Kuznetsov was added to RUSSIE.
15,[2014-01-13 12:32:59] - Evgeny Grachev was added to RUSSIE.
16,[2014-01-13 12:33:12] - Fedor Tyutin was added to RUSSIE.
17,[2014-01-13 12:33:22] - Valeri Nichushkin was added to RUSSIE.
18,[2014-01-13 12:33:28] - Vladimir Tarasenko was added to RUSSIE.
19,[2014-01-13 12:33:35] - Vyacheslav Voynov was added to RUSSIE.
20,[2014-01-13 12:33:46] - Yevgeni Medvedev was added to RUSSIE.
21,[2014-01-13 12:34:02] - Ilya Bryzgalov was added to RUSSIE.
22,[2014-01-13 12:34:12] - Sergei Bobrovsky was added to RUSSIE.
23,[2014-01-13 12:34:19] - Simeon Varlamov was added to RUSSIE.
24,[2014-01-13 12:36:23] - Vyacheslav Butsayev was created.
25,[2014-01-13 12:36:38] - RUSSIE hired Vyacheslav Butsayev for 780 000 $ for 2 year(s).
26,[2014-01-13 12:38:12] - Paul Stastny was added to USA.
27,[2014-01-13 12:38:18] - Zach Parise was added to USA.
28,[2014-01-13 12:38:26] - Patrick Kane was added to USA.
29,[2014-01-13 12:38:41] - Ryan Kesler was added to USA.
30,[2014-01-13 12:38:49] - Bobby Ryan was added to USA.
31,[2014-01-13 12:39:02] - Dustin Brown was added to USA.
32,[2014-01-13 12:39:15] - Phil Kessel was added to USA.
33,[2014-01-13 12:39:20] - T.J. Oshie was added to USA.
34,[2014-01-13 12:39:37] - Jason Pominville was added to USA.
